Element	2
x	y
0.92547	-0.05936	0.60876
0.92856	-0.06028	0.60688
0.93162	-0.06122	0.60365
0.93467	-0.06218	0.59989
0.93772	-0.06317	0.59540
0.94077	-0.06417	0.59130
0.94381	-0.06519	0.58657
0.94684	-0.06624	0.58144
0.94988	-0.06731	0.57577
0.95291	-0.06840	0.56970
0.95593	-0.06951	0.56345
0.95896	-0.07064	0.55603
0.96198	-0.07178	0.54910
0.96499	-0.07294	0.54380
0.96794	-0.07409	0.54006
0.97083	-0.07525	0.53417
0.97368	-0.07642	0.52651
0.97649	-0.07761	0.51519
0.97929	-0.07884	0.50064
0.98206	-0.08009	0.47988
0.98481	-0.08135	0.45503
0.98748	-0.08259	0.43250
0.98999	-0.08374	0.41034
0.99228	-0.08478	0.38424
0.99430	-0.08571	0.34390
0.99608	-0.08650	0.22031
0.99714	-0.08697	0.62930
