0,78325025	0,01243506
0,77860806	0,01364603
0,77120944	0,01536413
0,76325140	0,01710049
0,75471568	0,01903937
0,74552675	0,02117081
0,73565473	0,02341679
0,72509547	0,02577814
0,71391205	0,02826980
0,70222648	0,03086604
0,69016575	0,03351789
0,67783693	0,03618468
0,66533713	0,03884068
0,65275682	0,04146431
0,64017485	0,04402901
0,62764517	0,04651071
0,61519600	0,04889032
0,60283315	0,05116037
0,59055828	0,05331173
0,57836392	0,05534274
0,56623762	0,05725008
0,55416278	0,05903292
0,54211699	0,06069126
0,53007535	0,06221929
0,51800549	0,06362780
0,50587836	0,06492177
0,49367736	0,06610369
0,48138423	0,06718352
0,46898901	0,06816375
0,45648755	0,06905102
0,44387653	0,06984948
0,43117006	0,07056328
0,41837561	0,07119657
0,40550978	0,07174437
0,39257672	0,07221249
0,37958888	0,07259595
0,36655456	0,07290139
0,35348206	0,07312632
0,34038715	0,07327406
0,32728477	0,07334793
0,31419401	0,07334378
0,30113147	0,07326327
0,28811458	0,07310723
0,27516243	0,07287151
0,26229743	0,07256026
0,24954116	0,07217348
0,23692267	0,07171117
0,22447433	0,07117499
0,21223349	0,07056826
0,20024414	0,06989430
0,18855442	0,06915809
0,17721413	0,06836461
0,16627390	0,06752216
0,15577855	0,06663904
0,14577124	0,06572189
0,13628185	0,06478067
0,12732864	0,06382451
0,11892074	0,06286254
0,11105151	0,06189974
0,10370601	0,06094358
0,09686100	0,05999655
0,09048743	0,05906197
0,08455210	0,05814150
0,07902098	0,05723348
0,07386004	0,05633791
0,06903857	0,05545562
0,06452586	0,05458246
0,06029369	0,05371677
0,05631716	0,05285523
0,05257469	0,05198705
0,04904553	0,05110476
0,04571059	0,05020338
0,04255244	0,04928125
0,03955531	0,04834003
0,03670758	0,04738138
0,03399763	0,04640447
0,03141716	0,04540681
0,02895870	0,04438259
0,02661561	0,04333513
0,02438706	0,04225032
0,02227305	0,04111405
0,02027773	0,03991304
0,01840608	0,03863401
0,01665893	0,03727613
0,01503047	0,03584687
0,01351489	0,03435785
0,01210223	0,03281986
0,01078585	0,03124286
0,00956077	0,02963183
0,00842533	0,02799175
0,00737538	0,02632760
0,00640677	0,02464353
0,00551618	0,02294535
0,00470029	0,02123555
0,00395827	0,01951662
0,00329012	0,01779105
0,00269750	0,01606050
0,00217460	0,01432829
0,00171395	0,01259940
0,00130891	0,01087715
0,00095616	0,00916320
0,00065570	0,00746004
0,00040753	0,00576850
0,00021331	0,00408941
0,00007387	0,00242526
-0,00000830	0,00077605
-0,00003237	-0,00085490
0,00000498	-0,00247423
0,00011205	-0,00409854
0,00029631	-0,00572783
0,00056274	-0,00735712
0,00090885	-0,00898475
0,00134045	-0,01060657
0,00187165	-0,01221345
0,00250992	-0,01380041
0,00325028	-0,01536413
0,00409024	-0,01690046
0,00503312	-0,01840525
0,00607892	-0,01987435
0,00722266	-0,02130527
0,00846351	-0,02269884
0,00980147	-0,02404925
0,01124152	-0,02535152
0,01277868	-0,02660814
0,01441046	-0,02782243
0,01613271	-0,02900103
0,01794377	-0,03014892
0,01985526	-0,03124950
0,02186469	-0,03231937
0,02396210	-0,03338177
0,02616741	-0,03441097
0,02848311	-0,03541195
0,03091335	-0,03639135
0,03346643	-0,03735498
0,03614567	-0,03830948
0,03895937	-0,03926398
0,04191583	-0,04021682
0,04503248	-0,04115721
0,04832260	-0,04208349
0,05180279	-0,04300230
0,05548633	-0,04392360
0,05939231	-0,04484988
0,06354148	-0,04578197
0,06795542	-0,04671821
0,07266152	-0,04766109
0,07768385	-0,04861476
0,08305063	-0,04957507
0,08879755	-0,05053621
0,09495283	-0,05151312
0,10154303	-0,05249501
0,10860135	-0,05347690
0,11614522	-0,05446792
0,12418377	-0,05545894
0,13271949	-0,05643668
0,14174491	-0,05738952
0,15124758	-0,05830667
0,16120426	-0,05917983
0,17157926	-0,06000319
0,18232693	-0,06077011
0,19339166	-0,06147229
0,20472365	-0,06209230
0,21629468	-0,06262184
0,22806740	-0,06307087
0,23997458	-0,06344354
0,25196974	-0,06371910
0,26403711	-0,06389008
0,27615428	-0,06396810
0,28827809	-0,06395814
0,30036787	-0,06385273
0,31239789	-0,06364772
0,32434491	-0,06334145
0,33619233	-0,06293060
0,34792853	-0,06241019
0,35955102	-0,06177358
0,37107225	-0,06101081
0,38251214	-0,06011275
0,39390555	-0,05907110
0,40529066	-0,05787839
0,41671312	-0,05653213
0,42821360	-0,05503232
0,43981866	-0,05338892
0,45153245	-0,05161687
0,46333588	-0,04973111
0,47519077	-0,04774492
0,48705230	-0,04566245
0,49888976	-0,04348536
0,51066829	-0,04122942
0,52232730	-0,03892036
0,53379375	-0,03656814
0,54501452	-0,03417027
0,55596886	-0,03169604
0,56670159	-0,02909731
0,57727911	-0,02637491
0,58771968	-0,02355457
0,59800836	-0,02063629
0,60815428	-0,01759600
0,61818068	-0,01444615
0,62806266	-0,01124982
0,63771639	-0,00805930
0,64704559	-0,00492688
0,65596311	-0,00194469
0,66443243	0,00080676
0,67245189	0,00333411
0,68002481	0,00564317
0,68729478	0,00765509
0,69433318	0,00937734
0,70121554	0,01081158
0,70798336	0,01201508
0,71464245	0,01303100
0,72120028	0,01385270
0,72767594	0,01446441
0,73409184	0,01486696
0,74046707	0,01506035
0,74681740	0,01506367
0,75315030	0,01488273
0,75948071	0,01449263
0,76582191	0,01397720
0,77214900	0,01321194
0,77860972	0,01218523
0,78312575	0,01170964
999,90000000	999,90000000
0,99746993	-0,08607349
0,99648887	-0,08545016
0,99483717	-0,08439938
