0,94352500 0,01410800
0,93808400 0,01468100
0,93030000 0,01591800
0,92267700 0,01684000
0,91503700 0,01746100
0,90741000 0,01793100
0,89978000 0,01814900
0,89212900 0,01814500
0,88444800 0,01791200
0,87671800 0,01742700
0,86891600 0,01669000
0,86101500 0,01570000
0,85299200 0,01447600
0,84483800 0,01302600
0,83654600 0,01129800
0,82806600 0,00922300
0,81930700 0,00679900
0,81018300 0,00401700
0,80052100 0,00097200
0,79031700 -0,00234300
0,77957300 -0,00593600
0,76833300 -0,00971000
0,75670200 -0,01355400
0,74479600 -0,01740500
0,73271600 -0,02120000
0,72049200 -0,02486300
0,70809600 -0,02837900
0,69551700 -0,03177700
0,68277300 -0,03505700
0,66984200 -0,03818800
0,65664400 -0,04116900
0,64312500 -0,04405800
0,62931000 -0,04689200
0,61526300 -0,04967400
0,60107200 -0,05239200
0,58681000 -0,05501500
0,57251900 -0,05752400
0,55823600 -0,05991700
0,54401500 -0,06218900
0,52990200 -0,06432400
0,51592000 -0,06630400
0,50206400 -0,06811100
0,48830200 -0,06973300
0,47458500 -0,07117000
0,46085800 -0,07242500
0,44707500 -0,07350700
0,43319400 -0,07442600
0,41919100 -0,07519300
0,40505100 -0,07582000
0,39077700 -0,07631500
0,37638300 -0,07668400
0,36188900 -0,07693100
0,34732300 -0,07705800
0,33271600 -0,07707000
0,31811700 -0,07697600
0,30357800 -0,07677000
0,28912600 -0,07643800
0,27478000 -0,07598900
0,26059600 -0,07544800
0,24665500 -0,07481000
0,23300200 -0,07406300
0,21967100 -0,07321700
0,20672200 -0,07229300
0,19422200 -0,07130100
0,18222600 -0,07024900
0,17077700 -0,06914400
0,15990300 -0,06799600
0,14961900 -0,06681800
0,13993400 -0,06562400
0,13084500 -0,06443000
0,12234100 -0,06324700
0,11440100 -0,06206400
0,10698500 -0,06088700
0,10006100 -0,05972900
0,09359500 -0,05857200
0,08754400 -0,05742300
0,08187400 -0,05628700
0,07655600 -0,05515900
0,07155700 -0,05403600
0,06685100 -0,05292000
0,06241300 -0,05181000
0,05822000 -0,05070300
0,05425600 -0,04958700
0,05050100 -0,04845400
0,04693900 -0,04730600
0,04354900 -0,04615600
0,04032100 -0,04500600
0,03724500 -0,04384500
0,03431700 -0,04266500
0,03152700 -0,04145900
0,02887000 -0,04021900
0,02634300 -0,03893900
0,02392200 -0,03765000
0,02161900 -0,03632400
0,01943700 -0,03494100
0,01736200 -0,03352100
0,01539600 -0,03205800
0,01354400 -0,03054400
0,01180900 -0,02897500
0,01019700 -0,02734800
0,00870200 -0,02566900
0,00732400 -0,02394500
0,00606400 -0,02217500
0,00492800 -0,02036200
0,00391600 -0,01851100
0,00302400 -0,01662700
0,00225500 -0,01471500
0,00161500 -0,01277900
0,00109500 -0,01082500
0,00067800 -0,00886400
0,00035700 -0,00690100
0,00013500 -0,00493800
0,00000600 -0,00298100
-0,00003900 -0,00103000
-0,00001000 0,00093500
0,00008900 0,00292200
0,00025700 0,00492700
0,00049100 0,00695000
0,00079000 0,00898800
0,00115200 0,01104000
0,00157700 0,01310500
0,00206500 0,01518000
0,00262000 0,01726300
0,00325000 0,01935000
0,00396400 0,02143500
0,00476900 0,02351400
0,00566300 0,02558500
0,00664600 0,02764500
0,00771900 0,02969100
0,00888600 0,03172000
0,01015100 0,03372500
0,01151900 0,03570100
0,01299500 0,03764200
0,01458100 0,03954200
0,01628300 0,04139500
0,01810900 0,04318900
0,02007100 0,04491100
0,02217600 0,04654700
0,02443100 0,04808800
0,02683500 0,04953500
0,02938200 0,05090400
0,03206700 0,05221100
0,03489000 0,05347300
0,03785200 0,05470700
0,04096100 0,05590900
0,04422600 0,05708600
0,04765700 0,05824100
0,05126800 0,05937500
0,05507300 0,06048600
0,05909100 0,06157200
0,06334300 0,06263500
0,06785200 0,06368100
0,07264300 0,06471900
0,07774200 0,06576200
0,08317900 0,06681400
0,08898800 0,06787700
0,09520600 0,06895600
0,10187000 0,07005000
0,10902100 0,07115900
0,11670000 0,07228500
0,12494700 0,07342600
0,13379700 0,07457800
0,14327800 0,07573800
0,15340800 0,07689700
0,16419500 0,07804900
0,17562800 0,07918300
0,18768500 0,08028800
0,20033000 0,08135200
0,21351100 0,08236700
0,22717400 0,08332300
0,24125800 0,08421000
0,25570300 0,08502200
0,27045100 0,08575300
0,28544900 0,08639900
0,30065200 0,08695600
0,31602100 0,08742200
0,33152100 0,08779700
0,34712600 0,08808100
0,36280900 0,08826900
0,37854700 0,08836600
0,39431900 0,08837100
0,41010500 0,08828200
0,42588200 0,08810400
0,44163200 0,08783300
0,45733600 0,08746500
0,47298400 0,08700300
0,48856600 0,08643900
0,50406700 0,08577900
0,51948200 0,08501600
0,53479100 0,08415600
0,54998500 0,08319400
0,56504700 0,08212500
0,57998100 0,08094400
0,59479200 0,07964300
0,60949200 0,07821900
0,62410300 0,07666000
0,63864500 0,07496300
0,65315300 0,07312200
0,66766600 0,07112400
0,68221400 0,06897600
0,69682400 0,06667800
0,71151600 0,06423100
0,72630500 0,06163900
0,74120000 0,05890400
0,75619900 0,05603700
0,77129500 0,05304700
0,78645400 0,04995700
0,80161100 0,04679600
0,81667100 0,04359600
0,83152500 0,04038300
0,84605600 0,03718800
0,86013500 0,03406000
0,87360900 0,03105800
0,88633100 0,02821300
0,89822500 0,02550700
0,90929600 0,02293900
0,91958000 0,02060300
0,92916800 0,01851100
0,93808200 0,01644100
0,94367500 0,01498200
9999,9 9999,9
1,20137700 -0,10478400
1,20009800 -0,10422000
1,19795300 -0,10326100
1,19551400 -0,10214800
1,19276300 -0,10088800
1,18973800 -0,09950000
1,18651700 -0,09801800
1,18320100 -0,09649400
1,17986200 -0,09498600
1,17649900 -0,09351100
1,17311100 -0,09207000
1,16968000 -0,09065700
1,16619100 -0,08926100
1,16263500 -0,08787400
1,15901700 -0,08648500
1,15537400 -0,08510400
1,15172700 -0,08374200
1,14808000 -0,08240600
1,14442900 -0,08109400
1,14077400 -0,07980700
1,13711800 -0,07854700
1,13345800 -0,07731300
1,12978700 -0,07610300
1,12611100 -0,07491700
1,12243000 -0,07375800
1,11874200 -0,07262600
1,11503000 -0,07151700
1,11127900 -0,07042200
1,10750900 -0,06934100
1,10372700 -0,06827600
1,09994400 -0,06722800
1,09618700 -0,06621000
1,09243600 -0,06522500
1,08865100 -0,06425900
1,08483300 -0,06330600
1,08100300 -0,06236800
1,07717300 -0,06144900
1,07333100 -0,06055000
1,06947500 -0,05966700
1,06561200 -0,05880100
1,06174700 -0,05795300
1,05787600 -0,05712400
1,05399200 -0,05631200
1,05009200 -0,05551600
1,04617900 -0,05473300
1,04225800 -0,05396400
1,03832800 -0,05321000
1,03438700 -0,05246900
1,03043800 -0,05174100
1,02648700 -0,05102600
1,02253600 -0,05032700
1,01857500 -0,04964200
1,01459700 -0,04897000
1,01059800 -0,04830500
1,00659200 -0,04764700
1,00259400 -0,04700100
0,99860200 -0,04637100
0,99459400 -0,04575400
0,99055700 -0,04514200
0,98651100 -0,04453400
0,98247300 -0,04393600
0,97842300 -0,04334800
0,97435100 -0,04276500
0,97027000 -0,04218200
0,96620300 -0,04160600
0,96214500 -0,04104300
0,95806200 -0,04048700
0,95395300 -0,03993100
0,94983900 -0,03937500
0,94572800 -0,03882100
0,94163100 -0,03827200
0,93754600 -0,03773000
0,93347400 -0,03719300
0,92944300 -0,03666300
0,92549200 -0,03614200
0,92167300 -0,03563800
0,91805500 -0,03515800
0,91471200 -0,03471200
0,91169800 -0,03431200
0,90903700 -0,03396900
0,90671500 -0,03367700
0,90470700 -0,03342700
0,90297400 -0,03320900
0,90147100 -0,03302200
0,90015600 -0,03285800
0,89899400 -0,03270300
0,89795400 -0,03255900
0,89701800 -0,03243100
0,89617200 -0,03230100
0,89540300 -0,03215000
0,89469700 -0,03197200
0,89404700 -0,03177000
0,89344800 -0,03154700
0,89289500 -0,03129900
0,89238500 -0,03102400
0,89192400 -0,03071700
0,89152400 -0,03037500
0,89119600 -0,02999300
0,89093800 -0,02957100
0,89073300 -0,02912100
0,89056800 -0,02866000
0,89043400 -0,02819800
0,89033700 -0,02773800
0,89028300 -0,02728100
0,89027400 -0,02682800
0,89030600 -0,02638200
0,89037500 -0,02594400
0,89048000 -0,02551100
0,89061900 -0,02507900
0,89079100 -0,02464200
0,89099500 -0,02420000
0,89123100 -0,02375400
0,89150400 -0,02330700
0,89181700 -0,02286100
0,89216900 -0,02241300
0,89255600 -0,02195800
0,89297900 -0,02149900
0,89344900 -0,02104500
0,89397400 -0,02059800
0,89454900 -0,02015200
0,89517300 -0,01970900
0,89585100 -0,01926600
0,89659400 -0,01882000
0,89740300 -0,01837400
0,89828400 -0,01792800
0,89925200 -0,01748100
0,90031900 -0,01703300
0,90148800 -0,01658800
0,90277600 -0,01614700
0,90420000 -0,01571100
0,90576300 -0,01528600
0,90749200 -0,01487200
0,90939800 -0,01447500
0,91149800 -0,01409900
0,91381800 -0,01374300
0,91635200 -0,01341300
0,91910900 -0,01310900
0,92205200 -0,01283600
0,92516500 -0,01259600
0,92839400 -0,01239300
0,93171500 -0,01222500
0,93507000 -0,01209400
0,93842600 -0,01200800
0,94182800 -0,01197000
0,94525200 -0,01197900
0,94870000 -0,01203700
0,95217000 -0,01214700
0,95566000 -0,01230600
0,95917300 -0,01251600
0,96270500 -0,01277400
0,96626000 -0,01307900
0,96983300 -0,01343100
0,97342300 -0,01382500
0,97702200 -0,01426100
0,98062600 -0,01473600
0,98423000 -0,01525400
0,98783400 -0,01581100
0,99143500 -0,01641100
0,99504500 -0,01705200
0,99865900 -0,01773300
1,00228100 -0,01845700
1,00591700 -0,01922100
1,00956500 -0,02002200
1,01322300 -0,02086100
1,01689600 -0,02173700
1,02058200 -0,02264700
1,02427700 -0,02359000
1,02798500 -0,02456500
1,03169500 -0,02556600
1,03540300 -0,02659500
1,03910700 -0,02764800
1,04280100 -0,02872600
1,04648600 -0,02982900
1,05016300 -0,03095800
1,05382800 -0,03211200
1,05748600 -0,03329200
1,06113400 -0,03449800
1,06477200 -0,03572800
1,06840100 -0,03698500
1,07202400 -0,03826900
1,07563900 -0,03957900
1,07924700 -0,04091500
1,08284700 -0,04227800
1,08644200 -0,04366700
1,09003500 -0,04508400
1,09362800 -0,04652900
1,09721900 -0,04799900
1,10080800 -0,04949500
1,10439500 -0,05101400
1,10797500 -0,05255500
1,11154400 -0,05411600
1,11510500 -0,05569900
1,11865200 -0,05730200
1,12219200 -0,05892800
1,12572600 -0,06057700
1,12925600 -0,06225100
1,13278400 -0,06394700
1,13630400 -0,06566200
1,13980700 -0,06739000
1,14328500 -0,06913100
1,14673100 -0,07088100
1,15014400 -0,07264500
1,15352900 -0,07442800
1,15689200 -0,07623300
1,16023500 -0,07806100
1,16356000 -0,07991300
1,16685900 -0,08178100
1,17012600 -0,08366500
1,17335100 -0,08555700
1,17652000 -0,08745100
1,17961200 -0,08934000
1,18262100 -0,09122800
1,18555100 -0,09313100
1,18842800 -0,09505100
1,19121800 -0,09691800
1,19386800 -0,09865700
1,19634600 -0,10025000
1,19859900 -0,10168600
1,20058900 -0,10295200
1,20177100 -0,10370300

